regid,smiles,Pgood
S11112,O=C1NC2=C(N=CC(=O)N2)C(=O)S1,0.95
S11113,O=C1NC2=C(NC(=O)C=N2)C(=O)S1,0.95
S1112,O=C1SC=Cc2ccnn12,0.9
S11120,O=C1NC2=C(NC=CC2=O)N=C1,0.95
S11121,O=C1NC2=C(N=C1)C(=O)C=CN2,0.95
S11124,O=C1NC2=C(NC=NC2=O)N=C1,0.95
S11125,O=C1NC2=C(N=C1)C(=O)N=CN2,0.95
S11128,O=C1Nc2nccnc2N=C1,0.98
S11130,O=C1Nc2nncnc2N=C1,0.96
S11131,O=C1Nc2ncnnc2N=C1,0.96
S11134,O=C1NC2=C(N=CNC2=O)N=C1,0.95
S11135,O=C1NC2=C(N=C1)C(=O)NC=N2,0.95
S11137,O=C1NC=NN2C(=O)C=NC=C12,0.75
S11143,O=C1NC2=C(N=C1)C(=O)OC=N2,0.83
S11151,O=C1NC2=C(N=C1)C(=O)SC=N2,0.95
S11154,O=C1Nc2nnnnc2N=C1,0.95
S11156,O=C1NC2=NC(=O)NN=C2N=C1,0.52
S11157,O=C1NC2=NNC(=O)N=C2N=C1,0.52
S11158,O=C1NC2=NC(=O)ON=C2N=C1,0.55
S11159,O=C1NC2=NOC(=O)N=C2N=C1,0.55
S11162,O=C1NC2=C(N=C1)C(=O)NN=N2,0.9
S11164,O=C1NN=NN2C(=O)C=NC=C12,0.87
S1117,c1ncc2[nH]ncc2n1,1.0
S1118,c1ncc2cn[nH]c2n1,1.0
S11183,O=C1NC2=C(N=C1)C(=O)C=CO2,0.85
S11187,O=C1NC2=C(N=C1)C(=O)N=CO2,0.82
S1119,c1cc2ncncn2n1,0.99
S11190,O=C1NC2=C(N=C1)C(=O)C=CS2,0.84
S11194,O=C1NC2=C(NN=CC2=O)N=C1,0.92
S11195,O=C1NC2=C(N=C1)C(=O)C=NN2,0.92
S112,O=C1C=NON=C1,0.91
S1120,c1cc2cncnn2n1,0.95
S1121,c1nnnc2cn[nH]c12,0.99
S1122,c1nnnc2[nH]ncc12,1.0
S1123,c1cc2nnncn2n1,0.99
S1124,c1cc2cnnnn2n1,0.94
S11243,O=C1ON2C(=O)C=NC=C2C(=O)O1,0.53
S1125,O=C1NN=Cc2[nH]ncc12,0.99
S1126,O=C1NN=Cc2cn[nH]c12,0.98
S11266,O=C1Nc2c[nH]cc2N=N1,0.94
S11267,O=C1N=NC=C2C=CON12,0.92
S11269,O=C1Nc2cocc2N=N1,0.95
S1127,O=C1NN=Cn2nccc12,0.99
S11270,O=C1N=NC=C2C=CSN12,0.52
S11271,O=C1N=NC=C2SC=CN12,0.95
S11272,O=C1Nc2cscc2N=N1,0.98
S11275,O=C1Nc2n[nH]cc2N=N1,0.95
S11276,O=C1Nc2c[nH]nc2N=N1,0.94
S11279,O=C1Nc2nocc2N=N1,0.92
S1128,O=C1NN=Cc2ccnn12,1.0
S11280,O=C1Nc2conc2N=N1,0.92
S11283,O=C1Nc2nscc2N=N1,0.93
S11284,O=C1Nc2csnc2N=N1,0.92
S11288,O=C1N=NC=C2OC=NN12,0.92
S1129,O=C1NN=C2C=NNC2=C1,0.96
S11290,O=C1N=NC=C2SC=NN12,0.95
S11293,O=C1Nc2n[nH]nc2N=N1,0.81
S113,O=C1C=NSN=C1,0.95
S1130,O=C1NN=C2NN=CC2=C1,0.96
S11309,O=C1N=NC=C2C=CC=NN12,0.95
S1131,O=C1Nc2cn[nH]c2C=N1,0.99
S11312,O=C1N=NC=C2C=CN=NN12,0.53
S11313,O=C1N=NC=C2C=NN=CN12,0.84
S11318,O=C1NC=C2N=NC(=O)NC2=C1,0.92
S11319,O=C1NC=C2NC(=O)N=NC2=C1,0.92
S1132,O=C1Nc2[nH]ncc2C=N1,0.97
S11324,O=C1NC2=CC(=O)OC=C2N=N1,0.74
S11325,O=C1NC2=COC(=O)C=C2N=N1,0.74
S1133,O=C1Nc2ccnn2C=N1,0.99
S11333,O=C1N=NC=C2C=NC=NN12,0.92
S11338,O=C1NN=C2N=NC(=O)NC2=C1,0.54
S11339,O=C1NN=C2NC(=O)N=NC2=C1,0.87
S1134,O=C1Nn2nccc2C=N1,0.86
S11342,O=C1NC=C2NC(=O)N=NC2=N1,0.92
S11343,O=C1NC=C2N=NC(=O)NC2=N1,0.92
S1135,O=C1NC=C2NN=CC2=N1,0.94
S1136,O=C1NC=C2C=NNC2=N1,0.94
